BALANCE,PURCHASES,PURCHASES_TRX,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,PAYMENTS
40.900749,95.4,2,0.0,0.083333,201.802084
3202.467416,0.0,0,0.0,0.0,4103.032597
2495.148862,773.17,12,1.0,0.0,622.066742
817.714335,16.0,1,0.083333,0.0,678.334763
1809.828751,1333.28,8,0.0,0.583333,1400.05777
627.260806,7091.01,64,1.0,1.0,6354.314328
1823.652743,436.2,12,0.0,1.0,679.065082
1014.926473,861.49,5,0.083333,0.25,688.278568
152.225975,1281.6,3,0.166667,0.0,1164.770591
1293.124939,920.12,12,0.0,1.0,1083.301007
630.794744,1492.18,6,0.25,0.0,705.618627
1516.92862,3217.99,26,0.25,0.916667,608.263689
921.693369,2137.93,26,0.166667,0.75,1655.891435
2772.772734,0.0,0,0.0,0.0,805.647974
6886.213231,1611.7,11,0.0,0.5,1993.439277
2072.074354,0.0,0,0.0,0.0,391.974562
41.089489,519.0,8,0.0,0.333333,254.590662
1989.072228,504.35,9,0.083333,0.583333,1720.837373
3577.970933,398.64,12,0.0,1.0,1053.980464
2016.684686,176.68,8,0.0,0.666667,223.0686
6369.531318,6359.95,92,0.916667,1.0,2077.959051
132.34224,815.9,17,0.0,1.0,2359.629958
3800.151377,4248.35,13,0.083333,0.916667,9479.043842
5368.571219,0.0,0,0.0,0.0,1422.726707
169.781679,399.6,12,0.0,1.0,215.306142
1615.96724,102.0,2,0.166667,0.0,890.178845
125.694817,233.28,12,0.0,1.0,207.773715
7152.864372,387.05,8,0.166667,0.416667,1601.448347
22.06349,100.0,5,0.0,0.416667,160.767773
12136.21996,3038.01,64,0.166667,1.0,4230.323491
1162.273324,1347.71,45,0.083333,1.0,645.998299
6732.823064,324.95,3,0.083333,0.0,1720.118876
125.660453,636.79,11,0.916667,0.0,423.449696
3517.101616,547.28,14,0.0,1.0,8735.607835
1656.350781,0.0,0,0.0,0.0,351.500199
7427.076941,0.0,0,0.0,0.0,1636.361601
4047.480828,2380.55,41,0.5,0.75,1617.894416
6269.418144,204.0,2,0.083333,0.0,1237.111661
1411.60223,963.24,6,0.083333,0.0,20071.07544
663.44781,0.0,0,0.0,0.0,3067.05783
784.889762,1526.59,27,0.416667,0.333333,1262.309666
4104.710798,203.82,1,0.083333,0.0,868.275275
1360.742377,0.0,0,0.0,0.0,378.294227
5315.945594,1525.44,20,0.333333,1.0,1430.341501
474.447149,109.74,3,0.0,0.25,176.013005
229.867179,2390.6,87,0.666667,1.0,2543.953559
863.809833,507.5,3,0.166667,0.0,587.866451
4931.331857,901.42,9,0.375,0.25,8113.297346
1078.888565,3107.85,18,0.583333,0.5,1399.82834
1565.681099,0.0,0,0.0,0.0,691.825279
464.674156,1979.22,11,0.666667,0.0,3110.052742
2386.330629,5217.62,42,0.916667,0.5,5678.729613
3971.138765,0.0,0,0.0,0.0,764.938728
5493.90406,229.0,6,0.0,0.333333,2110.557023
1879.114033,113.0,2,0.166667,0.0,3509.686561
1555.793701,66.2,1,0.083333,0.0,338.083661
809.582978,0.0,0,0.0,0.0,4372.148648
1923.886805,1887.64,61,0.0,1.0,3688.045998
1758.059987,412.33,11,0.333333,0.166667,777.451648
809.847455,0.0,0,0.0,0.0,146.074769
1576.305029,0.0,0,0.0,0.0,540.022225
3990.523579,263.5,8,0.083333,0.583333,6876.836205
1699.435486,1363.69,4,0.333333,0.0,1623.816348
5487.683724,419.1,11,0.0,0.833333,1288.214909
2990.422186,4523.27,33,0.5,0.583333,28232.69446
656.01301,0.0,0,0.0,0.0,910.457985
1808.972419,713.9,8,0.1,0.4,889.017418
532.334517,791.94,7,0.090909,0.181818,1305.177304
5860.433624,561.87,14,0.166667,0.75,1990.044998
1727.638449,606.11,17,1.0,0.0,2959.920544
578.809679,320.0,8,0.0,0.666667,1438.910569
1205.716678,0.0,0,0.0,0.0,29.278671
6593.820644,388.66,7,0.583333,0.0,1624.583114
17.357563,244.85,13,0.166667,0.583333,357.802082
81.584711,0.0,0,0.0,0.0,116.569033
3.78631,133.05,5,0.166667,0.25,210.053432
42.46443,396.0,12,0.0,0.416667,725.606194
1935.362486,4915.6,50,1.0,0.333333,4921.066897
134.917202,1247.8,22,1.0,0.0,1275.229436
7069.950386,1603.78,23,0.833333,1.0,4589.873897
8181.251131,2258.01,60,0.75,1.0,3021.575846
4037.305658,45.0,1,0.083333,0.0,1073.844885
6110.265264,0.0,0,0.0,0.0,1502.205631
9381.255094,5100.07,46,0.25,0.916667,6409.496345
1977.00709,1032.04,17,0.090909,0.818182,3056.424974
1321.47608,45.65,1,0.083333,0.0,440.840439
1139.782882,0.0,0,0.0,0.0,151.823651
1619.955708,739.44,11,0.666667,0.0,417.128532
4.708041,79.0,3,0.0,0.166667,217.820198
4.875885,20.0,1,0.111111,0.0,26.487919
23.394411,1346.28,12,0.0,1.0,712.149153
3539.801912,2823.8,75,0.916667,0.833333,9172.788366
862.07238,0.0,0,0.0,0.0,2236.890255
2441.542991,808.0,4,0.25,0.0,532.741699
408.656365,941.64,12,0.0,1.0,1097.78942
4986.400804,0.0,0,0.0,0.0,1241.538024
1246.624558,423.7,10,0.166667,0.5,577.050373
6644.201651,4478.75,64,0.916667,1.0,10857.94321
156.216753,1354.86,34,0.333333,0.833333,858.976682
5322.994094,2812.2,81,0.25,1.0,1509.423237
6458.56209,0.0,0,0.0,0.0,1277.76778
175.341651,1508.9,14,0.416667,0.333333,1884.227778
680.195157,1045.57,25,0.583333,1.0,552.432305
223.763616,2309.78,12,0.0,0.5,1206.81188
1785.626943,0.0,0,0.0,0.0,687.691735
54.933231,495.0,2,0.0,0.166667,1969.845566
2662.629852,0.0,0,0.0,0.0,932.418855
8504.876253,6724.26,85,0.916667,1.0,1888.756861
2114.158683,5580.85,75,0.0,1.0,3564.977774
2876.396444,0.0,0,0.0,0.0,1065.426905
14224.11541,0.0,0,0.0,0.0,3066.614272
2392.917738,12462.44,217,0.916667,0.0,11628.71557
57.453201,0.0,0,0.0,0.0,385.853874
4245.855092,1957.3,19,0.166667,0.583333,1004.35474
11167.23403,150.64,1,0.083333,0.0,2606.059389
4637.848144,1271.12,33,0.25,0.833333,1906.032044
24.28497,250.6,7,0.0,0.5,319.762903
9354.06045,796.33,1,0.083333,0.0,10664.65866
231.108995,440.0,22,0.0,0.916667,554.116542
1562.633343,1330.62,8,0.166667,0.25,1020.783647
2494.868559,5491.79,52,0.5,1.0,1015.311953
706.132889,897.86,18,0.333333,0.916667,972.358048
19043.13856,22009.92,216,0.75,1.0,23018.57583
2235.103331,720.6,12,1.0,0.0,1061.292471
947.13081,197.06,5,0.25,0.166667,492.200419
764.042156,0.0,0,0.0,0.0,1566.806897
10598.46777,2084.48,13,0.416667,0.583333,3219.621433
2163.678757,5779.36,97,1.0,1.0,4416.41268
3057.400553,1025.0,2,0.083333,0.0,698.854095
264.811595,28.65,1,0.083333,0.0,1235.630069
1108.22253,944.96,9,0.25,0.416667,1955.198953
906.573724,1039.2,11,0.083333,0.833333,1855.235407
7679.62904,4059.93,14,0.0,0.5,3685.61062
1523.911458,4075.37,31,1.0,1.0,2254.26002
49.206256,870.24,24,0.0,1.0,835.839952
13673.07961,9792.23,216,0.75,1.0,11717.30794
106.455975,2463.12,46,0.5,1.0,2573.722764
119.760904,1859.34,4,0.0,0.25,3104.275623
1734.510004,0.0,0,0.0,0.0,363.474455
2765.748281,7283.31,77,1.0,0.666667,14373.3929
1046.37041,295.0,2,0.083333,0.0,439.407082
2737.367678,0.0,0,0.0,0.0,778.827993
4014.818167,0.0,0,0.0,0.0,1009.185035
871.568977,648.22,27,0.083333,1.0,1110.886425
1610.040203,557.19,5,0.083333,0.166667,422.711848
114.593817,469.98,6,0.0,0.833333,367.109312
5800.587339,0.0,0,0.0,0.0,1346.365584
823.103926,131.64,12,0.0,1.0,2916.071564
595.677343,5078.14,42,0.666667,0.75,4756.654374
1128.124563,924.6,12,0.0,1.0,1202.711782
349.441102,1975.4,17,0.416667,0.333333,1795.012223
840.804076,0.0,0,0.0,0.0,3621.266477
975.942008,10221.35,130,1.0,0.833333,10693.49585
23.111088,300.0,3,0.0,0.166667,291.948834
2187.732265,0.0,0,0.0,0.0,1423.788603
11972.01104,5715.0,90,1.0,1.0,4639.513745
1608.451822,0.0,0,0.0,0.0,470.565984
2933.240476,0.0,0,0.0,0.0,2431.578544
336.799916,3535.8,44,0.416667,0.916667,2814.231227
36.236312,256.11,5,0.0,0.416667,831.375322
903.29781,2697.48,39,0.333333,1.0,1686.196344
2881.253586,117.0,3,0.0,0.166667,17301.83238
117.442684,653.73,15,0.416667,0.416667,441.588141
168.522709,2009.05,22,0.0,0.75,2612.760497
1706.014379,147.78,2,0.0,0.166667,1186.062765
874.583247,516.54,30,0.333333,0.916667,579.749308
966.251742,311.45,15,0.333333,0.0,277.522439
38.615644,280.4,3,0.25,0.0,254.392984
40.417255,79.2,1,0.083333,0.0,1647.880773
5462.897068,1453.32,18,0.0,0.5,1382.269127
3983.923705,756.54,15,0.5,0.0,1110.870941
5588.846272,3507.35,34,0.166667,0.833333,1412.597253
281.170378,3163.69,36,0.083333,0.666667,2422.911622
130.251538,1343.19,33,1.0,0.583333,1043.55929
1973.814964,873.0,5,0.166667,0.0,541.722532
5698.539876,47.55,2,0.0,0.166667,2976.579866
43.103899,370.0,2,0.166667,0.0,1212.054219
566.546048,405.75,12,0.166667,0.416667,1249.835142
24.527253,261.64,10,0.0,0.833333,376.758504
8350.145568,1989.28,8,0.166667,0.166667,4720.900413
4559.779234,10848.5,123,0.666667,1.0,9423.715495
2.67713,43.39,1,0.0,0.083333,130.107234
1570.682346,645.32,2,0.166667,0.0,2591.391006
7201.736985,987.1,9,0.333333,0.083333,1941.541158
6467.885013,1464.14,23,0.583333,0.666667,1658.563509
64.080909,927.0,4,0.083333,0.166667,1260.16384
5635.860679,393.62,15,0.916667,0.166667,1919.630466
3670.50596,965.5,9,0.5,0.083333,1034.932404
2458.376257,0.0,0,0.0,0.0,4543.63481
768.004936,336.41,9,0.75,0.0,947.696134
75.647479,540.0,3,0.0,0.166667,548.967281
1121.730896,878.52,39,0.166667,0.916667,542.836917
7.56809,144.26,7,0.083333,0.166667,134.710832
2053.441598,493.85,10,0.333333,0.25,2795.059574
2422.311938,4490.69,52,0.916667,1.0,5763.666926
9047.621884,11188.62,151,0.75,1.0,11994.41815
3061.213971,1829.2,17,1.0,0.083333,971.234118
41.642389,75.99,1,0.142857,0.0,69.163384
5431.622968,1824.16,23,0.916667,0.75,1508.016452
6571.484039,9325.22,5,0.333333,0.0,11036.72668
28.461629,100.0,1,0.083333,0.0,125.769169
4178.625215,1431.89,39,0.416667,0.833333,2384.542045
3019.019487,2260.41,25,0.416667,0.75,2187.930651
1.045584,0.0,0,0.0,0.0,1068.581252
2723.369217,10410.49,41,0.666667,0.583333,9695.650901
1070.999446,990.7,13,0.25,0.583333,505.317328
279.608696,3034.92,12,0.0,1.0,2928.909865
1255.901821,1038.81,21,0.916667,0.0,1215.454299
2229.857287,45.65,1,0.083333,0.0,542.7463
2363.489077,2641.98,41,0.666667,0.75,1839.928884
7623.224897,300.0,6,0.0,0.416667,1975.974183
3421.571922,126.69,5,0.083333,0.25,2515.435738
48.898611,247.09,7,0.0,0.416667,409.594792
1874.716289,301.1,10,0.166667,0.333333,586.974046
237.235398,2410.07,15,0.083333,0.333333,3773.727455
1272.927288,5350.19,101,1.0,0.916667,5825.602115
558.476701,630.03,1,0.090909,0.0,426.092563
2814.207626,3197.24,49,0.666667,1.0,3574.480603
8.061012,133.0,3,0.0,0.166667,130.61272
435.862142,1646.16,33,0.583333,0.75,1055.835407
6.390383,79.66,12,0.0,1.0,75.896288
9612.21512,319.92,12,0.0,1.0,10993.89211
7938.559134,3677.52,98,1.0,0.5,2657.856602
2344.478291,1041.63,14,0.25,0.0,3033.665478
996.48222,675.96,12,0.0,1.0,1851.602411
19.508047,193.14,5,0.0,0.416667,220.46377
185.640313,1703.23,13,1.0,0.0,1449.039414
5335.302925,0.0,0,0.0,0.0,1350.318606
22.189283,234.16,4,0.0,0.272727,479.910499
5.871769,29.68,1,0.083333,0.0,76.943584
1049.496471,1322.67,28,0.75,0.416667,802.38543
5570.190127,1607.88,84,0.0,1.0,1583.411686
1668.591831,0.0,0,0.0,0.0,2166.981163
2224.590946,3183.0,2,0.166667,0.0,3823.346244
2903.781184,3014.23,93,0.833333,1.0,1350.370286
2041.480046,7323.38,81,0.833333,0.75,3792.095079
7755.698607,8533.54,72,0.5,0.833333,4758.209146
614.263149,408.93,10,0.083333,0.5,2161.153147
8097.334733,3999.92,14,0.083333,1.0,5624.074339
1082.33027,2980.46,50,0.5,1.0,1116.967993
2734.66412,560.73,11,0.916667,0.0,717.798364
80.708806,569.9,3,0.166667,0.0,634.000055
2554.525229,6186.77,38,0.75,0.25,11198.92613
535.947221,4550.81,99,0.916667,1.0,4317.191232
3905.365959,150.8,2,0.166667,0.0,990.524408
