PURCHASES,CASH_ADVANCE,INSTALLMENTS_PURCHASES,CASH_ADVANCE_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY
95.4,0.0,95.4,0.0,0.083333
0.0,6442.945483,0.0,0.25,0.0
773.17,0.0,0.0,0.0,0.0
1499.0,205.788017,0.0,0.083333,0.0
16.0,0.0,0.0,0.0,0.0
1333.28,0.0,1333.28,0.0,0.583333
7091.01,0.0,688.38,0.0,1.0
436.2,0.0,436.2,0.0,1.0
861.49,0.0,200.0,0.0,0.25
1281.6,0.0,0.0,0.0,0.0
920.12,0.0,920.12,0.0,1.0
1492.18,0.0,0.0,0.0,0.0
3217.99,0.0,717.76,0.0,0.916667
2137.93,0.0,1717.97,0.0,0.75
0.0,346.81139,0.0,0.083333,0.0
1611.7,2301.491267,1611.7,0.166667,0.5
0.0,2784.274703,0.0,0.25,0.0
519.0,0.0,519.0,0.0,0.333333
504.35,0.0,338.35,0.0,0.583333
398.64,0.0,398.64,0.0,1.0
176.68,0.0,176.68,0.0,0.666667
6359.95,229.028245,449.91,0.333333,1.0
815.9,0.0,815.9,0.0,1.0
4248.35,7974.415626,793.79,0.333333,0.916667
0.0,798.949863,0.0,0.363636,0.0
399.6,0.0,399.6,0.0,1.0
102.0,244.840485,0.0,0.25,0.0
233.28,0.0,233.28,0.0,1.0
387.05,2236.145259,182.5,0.833333,0.416667
100.0,0.0,100.0,0.0,0.416667
3038.01,3183.583301,2024.81,0.5,1.0
1347.71,175.815755,947.71,0.166667,1.0
324.95,1189.533753,0.0,0.166667,0.0
636.79,0.0,0.0,0.0,0.0
547.28,0.0,547.28,0.0,1.0
0.0,99.264367,0.0,0.083333,0.0
0.0,8873.375046,0.0,0.727273,0.0
2380.55,1697.660901,738.38,0.333333,0.75
204.0,2925.699862,0.0,0.333333,0.0
963.24,6173.682877,0.0,0.333333,0.0
0.0,3133.063934,0.0,0.25,0.0
1526.59,2188.419607,740.29,0.25,0.333333
203.82,0.0,0.0,0.0,0.0
0.0,1481.587093,0.0,0.083333,0.0
1525.44,0.0,1055.64,0.0,1.0
437.0,184.648692,340.0,0.166667,0.333333
109.74,1013.659552,109.74,0.125,0.25
0.0,1980.873201,0.0,0.5,0.0
2390.6,0.0,987.67,0.0,1.0
507.5,695.097159,0.0,0.083333,0.0
901.42,8530.648614,255.35,0.875,0.25
3107.85,0.0,886.11,0.0,0.5
0.0,321.359135,0.0,0.25,0.0
1979.22,1981.265503,0.0,0.111111,0.0
310.0,0.0,310.0,0.0,0.666667
1283.9,0.0,0.0,0.0,0.0
313.27,668.468743,0.0,0.416667,0.0
5217.62,0.0,428.53,0.0,0.5
0.0,224.575517,0.0,0.181818,0.0
229.0,970.591332,229.0,0.333333,0.333333
113.0,0.0,0.0,0.0,0.0
66.2,0.0,0.0,0.0,0.0
0.0,3819.672466,0.0,0.545455,0.0
840.0,0.0,0.0,0.0,0.0
1887.64,1605.949371,1887.64,0.083333,1.0
412.33,0.0,87.12,0.0,0.166667
0.0,908.423608,0.0,0.125,0.0
0.0,382.908547,0.0,0.416667,0.0
263.5,0.0,72.9,0.0,0.583333
1363.69,0.0,0.0,0.0,0.0
419.1,625.399386,419.1,0.333333,0.833333
4523.27,27296.48576,2859.18,0.833333,0.583333
0.0,1474.349901,0.0,0.125,0.0
713.9,0.0,210.82,0.0,0.4
791.94,0.0,275.3,0.0,0.181818
561.87,0.0,312.37,0.0,0.75
606.11,0.0,0.0,0.0,0.0
320.0,0.0,320.0,0.0,0.666667
0.0,38.325801,0.0,0.083333,0.0
388.66,4621.93458,0.0,0.416667,0.0
244.85,0.0,204.64,0.0,0.583333
0.0,2985.300006,0.0,0.166667,0.0
133.05,0.0,104.85,0.0,0.25
396.0,0.0,396.0,0.0,0.416667
4915.6,293.844792,400.26,0.083333,0.333333
1247.8,0.0,0.0,0.0,0.0
1603.78,5626.004046,158.64,0.75,1.0
2258.01,5251.228934,939.23,0.75,1.0
45.0,104.238064,0.0,0.083333,0.0
0.0,2717.253917,0.0,0.416667,0.0
5100.07,370.737197,3952.24,0.083333,0.916667
1032.04,4335.919227,805.14,0.545455,0.818182
45.65,495.657934,0.0,0.083333,0.0
405.6,0.0,0.0,0.0,0.0
213.34,0.0,0.0,0.0,0.0
0.0,120.612912,0.0,0.083333,0.0
739.44,0.0,0.0,0.0,0.0
0.0,1713.984305,0.0,0.5,0.0
79.0,0.0,79.0,0.0,0.166667
0.0,89.849004,0.0,0.142857,0.0
20.0,0.0,0.0,0.0,0.0
1346.28,0.0,1346.28,0.0,1.0
2823.8,0.0,1283.39,0.0,0.833333
389.96,0.0,389.96,0.0,1.0
